Accession Number,Title,Subject,Description,Period,Creator,Place of Origin,Condition,Notes,Location,Contributor/  Donor,Filenames
1983.08.034_A+B,Jean Pierce floral linen dress and coat,Costume; Garments; Dress,"Multi-coloured floral print linen shift dress with matching long-sleeved coat, lined in gray silk. ",1962-1965,Jean Pierce,"Toronto, Canada",Very Good condition.,Toronto retailer. ,KHW66C Rack #3,Isobel Coulthard,"/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1983.08.034_A+B_Det_1_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1983.08.034_A+B_BCK_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1983.08.034_A+B_B34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1983.08.034_A+B_LBL_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1983.08.034_A+B_Det_5_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1983.08.034_A+B_FRT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1983.08.034_A+B_F34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1983.08.034_A+B_F34_2pc_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1983.08.034_A+B_B34_2pc_Web.jpg"
1983.09.002A+B+C,"VALI black lace blouse, black silk camisole and gathered skirt ",Costume; Garments; Blouses; Skirts,"A. Black lace blouse with ruffled collar and cuffs, peplum waist, front button closure. B. Black silk camisole. C. Gathered lined skirt with back zipper closure.",1975-1985,VALI,,Very Good condition.,,KHW66C,Tricia Jensen,
1983.09.004,Pat Sandler black lace evening dress with stand collar,Costume; Garments; Dress,"Black pleated nylon and lace floor length evening gown with stand collar, inset nude/black lace waist with back ties, long sheer sleeves and nude/black lace cuffs. Ruffled lace hem.",1970-1974,Pat Sandler,,Very Good condition.,Nude coloured inset at waist would make it seem like the wearer was exposing skin. ,KHW66C,Tricia Jensen,
1984.01.003_A+B,Michelina black patent leather pumps with gray velvet bow,Costume; Accessories; Footwear,Black patent leather pumps with gray velvet bow. ,1970-1980,Michelina,Belgium,Good condition. Minor signs of wear.,Made in Belgium label.,KHW66H,Isobel Coulthard,
1984.01.007A+B,Pierre Gamins Paris navy blue leather pumps ,Costume; Accessories; Footwear,Navy blue leather pumps with gold accent strap on toe cap. ,1970-1980,Pierre Gamins Paris,,Fair condition.,,KHW66H,Isobel Coulthard,
1984.01.008A+B,Charles Jourdan Paris black suede pumps with cut-outs ,Costume; Accessories; Footwear,Black suede pumps with cut-outs on vamp and sides. 3-inch stiletto heel,1950-1960,Charles Jourdan Paris,,Good condition except heel leather is marked.,,KHW66H,Isobel Coulthard,
1984.01.009A+B,Ravins black leather  pumps,Costume; Accessories; Footwear,Black leather pumps with 2.5 inch heels. ,1970-1980,Ravins,,Good condition.,"Label reads: ""Ravins, By Appointment to Her Majesty The Queen. H&M Ravins Ltd.""",KHW66H,Isobel Coulthard,
1984.01.010A+B,Phillipe Renault Paris black patent leather pumps,Costume; Accessories; Footwear; ,"Black patent leather low-heel pumps with silver metallic piping, heel and button on vamp",1960-1969,Phillipe Renault Paris,,Fair condition. Lining is worn.,Heel is shiny metallic silver. ,KHW66H,Isobel Coulthard,
1984.01.011A+B,David Evans beige wedge heels with ankle straps,Costume; Accessories; Footwear,"Creamy beige wedge heels with ankle straps, gold metallic piping.",1960-1969,David Evans,,Good condition.,Lining is metallic gold. Handwritten sizing written in black ink inside shoes.,KHW66H,Isobel Coulthard,
1984.01.014A+B,Eaton's black satin and suede pumps,Costume; Accessories; Footwear,Black satin and suede pumps with 2-inch heels. Black corded satin shoelace tie at front vamp.,1950-1959,The T. Eaton Co.,,Good condition.,Menswear inspired ladies pump,KHW66H,Isobel Coulthard,
1984.01.015A+B,Calderone purple suede pumps,Costume; Accessories; Footwear,Purple suede pumps with 3-inch stacked heel,1970-1979,Calderone,,Good condition.,,KHW66H,Isobel Coulthard,
1984.01.016_A+B,Geltra navy and white leather low-heeled pumps with leather bow,Costume; Accessories; Footwear,Navy and white leather low-heeled pumps with leather bow at back of heel. Heel is in white leather.,1960-1969,Geltra,,Fair condition.,,KHW66H,Isobel Coulthard,
1984.01.017_A+B,La Gioconda Shoe blue and orange patent leather pumps ,Costume; Accessories; Footwear,Blue and orange patent leather pumps with 3/4 inch heel,1960-1969,La Gioconda Shoe,,Good condition. Minor signs of wear.,,KHW66H,Isobel Coulthard,
1984.01.018,Betty Hendersen cotton floral floppy brim sun hat  ,Costume; Headgear; Hats,"Cotton floral floppy brim sun hat with berry colour top stitching detail on brim and crown. 1.5cm berry colour grosgrain hatband tied at rear of crown. Label reads: ""Betty Hendersen designed by Bernice Lowry Toronto""",1970-1979,Bernice Lowry ,"Toronto, Canada",Good condition. Minor signs of wear inside crown.,Colours in print and grosgrain ribbon are fading. ,KHW66H,Isobel Coulthard,
1984.01.019,Jackwill Originale wildflower pillbox hat ,Costume; Headgear; Hats,Wildflower covered pillbox hat. ,1960-1965,Jackwill Originale,,Very Good condition.,Bought at Eatons. Recept inside crown.,KHW66H,Isobel Coulthard,
1984.01.020,Maybrook magenta felt cloche hat,Costume; Headgear; Hats,Magenta felt cloche hat. Pale pink feathers and self-fabric feather quill pierce through the crown. Sculpted crown. ,1920-1929,Maybrook,,Fair condition. Feathers are browning from age and glue decomposing.,Hat is beginning to lose some structure. ,KHW66H,Isobel Coulthard,
1984.01.021,Leopard print felt cloche with leather hatband,Costume; Headgear; Hats,Stylized leopard print felt cloche with leather hatband crossed at front of crown. ,1920-1929,A & C.F.,,Good condition.,Felt is in good condition. ,KHW66H,Isobel Coulthard,
1984.01.022,Simpsons pale green organza pillbox hat,Costume; Headgear; Hats,"Pale green organza pillbox hat, interwined with brown braided straw to create a tufted effect. ",1960-1965,Simpsons ,,Good condition.,Hatband is slightly warped but inner crown has minimal signs of wear.,KHW66H,Isobel Coulthard,
1984.01.023,Beige pillbox hat with  ruffle netting ,Costume; Headgear; Hats,Beige pillbox hat with hand sewn ruffle netting. ,1960-1965,Unknown,,Fair condition. Some yellowing and marks of wear.,Ruffles give hat the appearance of a sea plant. ,KHW66H,Isobel Coulthard,
1984.01.024,Turban-style hat with bow,Costume; Headgear; Hats,"Stylized brown, tan, black and orange velvet army print hat in a turban style. Self-fabric bow at front of crown. ",1960-1970,Unknown,,Good condition.,Minimal dust on cap. No loss of pile on velvet.,KHW66H,Isobel Coulthard,
1984.01.025,Navy and mustard helmet-style hat,Costume; Headgear; Hats,Navy and mustard felt womenswear helmet with cross detail on front of crown. ,1965-1970,Unknown,,Good condition. Makeup stains along inside of crown.,Classic 60s helmet style. ,KHW66H,Isobel Coulthard,"/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1984.01.025_B34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1984.01.025_FRT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1984.01.025_F34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1984.01.025_BCK_Web.jpg"
1984.01.026,Cecelia Frances navy blue net pillbox straw hat ,Costume; Headgear; Hats,Navy blue net pillbox straw hat with navy blue hat pin.,1960-1965,Cecelia Frances ,"Toronto, Canada",Good condition. Minor signs of sweat/makeup wear inside crown.,Canadian (Toronto) label. Netting wrapped around crown to appear like a turban. ,KHW66H,Isobel Coulthard,
1984.01.027,Violet net pillbox straw hat ,Costume; Headgear; Hats,Violet net pillbox straw hat. ,1960-1965,Unknown,,Good condition. Minor signs of wear inside crown.,Minor signs of wear inside crown.,KHW66H,Isobel Coulthard,
1984.01.028,Simpsons black point d'esprit pillbox hat ,Costume; Headgear; Hats,Black point d'esprit pillbox hat with satin piping. ,1960-1965,Simpsons,,Good condition. Grosgrain ribbon inside crown is detaching.,,KHW66H,Isobel Coulthard,
1984.01.029,Brown velvet draped pillbox hat,Costume; Headgear; Hats,Brown velvet draped pillbox hat. ,1960-1965,Unknown,,Good condition. Minor signs of wear/age inside of crown.,"Luxurious velvet, eastern inspired. ",KHW66H,Isobel Coulthard,
1984.01.030,Royal blue chenille string pillbox hat,Costume; Headgear; Hats,Royal blue chenille string pillbox hat.,1960-1965,Pinehurst,,Good condition. Pile on velvet trim is worn. ,Bright and texture rich hat. ,KHW66H,Isobel Coulthard,
1984.01.031,Jo. Anne black net pillbox hat,Costume; Headgear; Hats,Black net pillbox hat. ,1960-1965,Jo. Anne,"1566 Yonge Street, Toronto, Canada",Good condition.,Canadian milliner. ,KHW66H,Isobel Coulthard,
1984.01.032,White felted wool fedora with bow ,Costume; Headgear; Hats,White felted wool fedora with top stitching detail and self fabric bow at front of crown. ,1970-1979,Unknown,,Fair condition. Brim is slightly warped. Pile on felt is patching towards back of crown. Fabric has browned.,,KHW66H,Isobel Coulthard,
1984.01.033,Pierre Cardin brown velour helmet hat ,Costume; Headgear; Hats,Brown velour womenswear helmet hat. ,1965-1970,Pierre Cardin,,Good condition. Inside of crown has makeup and sweat stains. Gold design mark lettering are also fading inside crown. ,Notable designer of the era.,KHW66H,Isobel Coulthard,
1984.01.034,Simpsons white and blue polka dot netting pillbox hat,Costume; Headgear; Hats,White and blue polka dot netting pillbox hat. ,1960-1965,Simpsons,,Fair condition. Netting  is torn along the front of the crown.,,KHW66H,Isobel Coulthard,
1984.01.035,Black draped velvet pillbox hat,Costume; Headgear; Hats,Black draped velvet pillbox hat. Self-fabric bow at base rear of crown. ,1960-1965,Unknown,,Good condition.,Hand tacked draping. ,KHW66H,Isobel Coulthard,
1984.01.036,Jo. Anne draped navy organza turban-style hat ,Costume; Headgear; Hats,Draped navy organza turban-style hat. ,1960-1970,Jo. Anne,"1566 Yonge Street, Toronto, Canada",Fair condition. Stains along crown and inside hat. Navy colour is dull.,Canadian (Toronto) milliner. ,KHW66H,Isobel Coulthard,
1984.01.037,Vera Anne pink felted halo beret ,Costume; Headgear; Hats,Pink felted halo beret with top stitching detail. With self-fabric bow at rear of crown.,1960-1970,Vera Anne The Kingsway,"Toronto, Canada",Good condition. Minor staining on inside of crown.,Canadian milliner. Dramatic oversized halo crown. ,KHW66H,Isobel Coulthard,
1984.01.038,Blue jacquard beret,Costume; Headgear; Hats,Blue jacquard beret. ,1960-1969,Unknown,,Good condition. Fabric has faded. ,Fabric has faded. ,KHW66H,Isobel Coulthard,
1984.01.039,Boutique Katesgray wool flannel shade hat ,Costume; Headgear; Hats,Gray wool flannel shade hat with top stitching detail along brim and four piece constructed crown.  ,1975-1980,Boutique Kates Canada,Canada,Near Perfect condition.,"Topstitching and multi-quadrant constructed crown, detailed hat. Canadian label.",KHW66H,Isobel Coulthard,
1984.01.040,Light pink straw hat with irregular upturned brim ,Costume; Headgear; Hats,Light pink straw hat with irregular upturned brim. ,1970-1979,Unknown,,Good condition. Straw on inner crown shows minor sweat stains. ,"Irregular brim looks like a petal from a birds eye view, organic folds.",KHW66H,Isobel Coulthard,
1984.01.041,Cerilliam New York beige straw twill weave hat with asymmetrical brim,Costume; Headgear; Hats,Beige straw twill weave hat with asymmetrical brim. Trimmed in 3.75cm beige grosgrain and tied into a bow at front of crown. ,1970-1979,Cerilliam New York,,Good condition.,Sculpted crown reminiscent of a British safari helmet. ,KHW66H,Isobel Coulthard,
1984.01.043,Monsieur Henri Jr. floral beret ,Costume; Headgear; Hats,"Bright, floral womenswear beret with multi-coloured jewel embellishments. Self-fabric bow tied at base rear of crown.",1970-1979,Original Monsieur Henri Jr.,,Good condition. Crown is slightly mis-shapen but otherwise has few signs of wear.,,KHW66H,Isobel Coulthard,
1984.01.052,Tapóó Hawes straw hat with tall crown,Costume; Headgear; Hats,Natural straw hat with tall crown. ,1970-1979,Tapóó Hawes ,California,Poor condition. Hatband is missing and glue bits are visible.,"Label reads: ""Original Tapóó Hawes of California""",KHW66H,Isobel Coulthard,
1984.01.055,Pale peach girdle with garters,Costume; Garments; Underwear,Pale peach girdle with metal garters. Pink lace insert. ,1950-1965,Unknown,,Very good condition.,,Box 306,Isobel Coulthard (Anonymous),
1984.01.057,Gray and black printed brassiere,Costume; Garments; Underwear,Gray and black camouflage printed  nylon brassiere with elasticized black band. ,1970-1980,Maidenform,USA,Good condition. Elastic has become stiff.,Seaming on this bra could make it uncomfortable. Made in USA label.,Box 306,Isobel Coulthard (Anonymous),
1984.03.015_A+B,Yves Saint Laurent burgundy patent leather pumps ,Costume; Accessories; Footwear,Burgundy patent leather pumps with cross-strap at ankle.,1970-1979,Yves Saint Laurent,,Poor condition. Shoes have been heavily worn.,Shoes have been heavily worn.,KHW66H,Karen Mulhallen,
1984.04.005,White silk camisole with broderie anglais,Costume; Garments; Underwear,White silk camisole with broderie anglaise at neckline and for shoulder straps. Ribbon inset at neckline with bow. Gathered peblum waist.,1935-1955,Unknown,,Good condition.,,Box 210,Fred Hainsworth,
1984.04.006,Cream cotton camisole with inset bands of lace,Costume; Garments; Underwear,Cream cotton camisole with inset bands of lace and lace shoulder straps. Ribbon drawstring at neckline. ,Not dated,Unknown,,Fair condition. Garment has yellowed and is sttined under arms. ,Dating of garment is uncertain. Elastic band under bustline suggests after 1930s but this may be a later add. Otherwise seems to be turn of century,Box 210,Fred Hainsworth,
1984.04.008,Cream satin garter belt,Costume; Garments; Underwear,Cream coloured silk satin garter belt with decorative top stitching. Elastic garters with metal fasteners.,1949-1959,Stella Lucas,"Hamilton, Ontario",Very good condition.,"Very finely finished. Label reads: ""Designed for you by Stella Lucas, Hamilton, Ontario."" Stamped 30, No. 122 in black ink.",Box 306,Fred Hainsworth,
1984.04.012,Curling tongs with ivory coloured handle,Equipment; Grooming; Curling; Irons,Curling tongs with ivory coloured handle,1880-1910,Unknown,,Fair condition. Handle is cracked.,,KHW66H,Fred Hainsworth,
1984.04.013A+B,DeLong Hair Pins and leather case,Costume; Hair; Accessories; Hairpins,A. Brown leather hair pin case B. Box of DeLong Hair Pins,Not dated,"DeLong Hair Pin, Trademark","St. Mary's, Ontario, Canada",Fair condition.,"Box reads ""DeLong Hook & Eye Company, St. Mary's Ontario & Philadelphia""",KHW66H,Fred Hainsworth,
1984.04.017,Black nylon umbrella with imitation ivory handle ,Equipment; Umbrellas,Black nylon umbrella with imitation ivory handle carved in leaf pattern,1935-1945,Unknown,,Good condition.,,KHW66H,Fred Hainsworth,
1984.04.018,Dark purple straw and netting ribbon pillbox hat. ,Costume; Headgear; Hats,Dark purple straw and netting ribbon pillbox hat. ,1960-1965,Geraldine,,Fair condition. Sweat stains on inner crown. Colour degradation along high points of folded ribbon caused by exposure to light.,"Label reads: ""Designed by Geraldine""",KHW66H,Fred Hainsworth,
1984.04.019,Cream organza rosette cap with veil ,Costume; Headgear; Hats,Cream organza rosette cap with veil overlay. Crown shaped like leaves encompassing the crown. ,1950-1959,Unknown,,Poor condition. Very dirty along trim and overall hat has yellowed with age. Velvet trim along crown has worn down pile in stress areas. ,Velvet trim along crown has worn down pile in stress areas. ,KHW66H,Fred Hainsworth,
1984.04.021,Piko black plush velvet cap with black feathers ,Costume; Headgear; Hats,"Black plush velvet cap with black feathers on right, front side of crown. ",1950-1959,Piko,,Good condition. Minor dirt/dust on outside of crown. ,,KHW66H,Fred Hainsworth,
1984.04.022,Black velvet cap with feather  ,Costume; Headgear; Hats,Black velvet cap with feather and scattered rhinestones. ,1950-1959,Unknown,,Good condition. Possibly some rhinestones missing. ,Feathers are whispy around the face. ,KHW66H,Fred Hainsworth,
1984.04.023,Eatons black draped velvet cap with self-fabric bow,Costume; Headgear; Hats,Black draped velvet cap with self-fabric bow on top of crown. ,1930-1939,Eatons of Canada,,Poor condition. Velvet is torn on crown. Heavy sweat and dirt stains along trim and inner crown.,,KHW66H,Fred Hainsworth,
1984.04.024,Black straw juliet cap ,Costume; Headgear; Hats,Three pointed juliet cap composed of black thickly twisted straw. ,1950-1959,Unknown,,Poor condition. Glue marks all over hat indicate there were embellishments that are missing.,,KHW66H,Fred Hainsworth,
1984.04.025,Pink satin circle cap ,Costume; Headgear; Hats,Pink satin circle cap with pink iridescent flower buds and pink netting overlay.,1950-1959,Unknown,,Poor condition. Netting is becoming brittle and tearing in areas. Colour is fading. ,,KHW66H,Fred Hainsworth,
